symbol,price,price_change,price_percent_change
VRS,182.86,-7.83,-2.45%
QXD,476.33,-8.22,-1.73%
RKU,130.05,-6.61,-2.53%
LNEC,320.52,2.08,4.35%
CFLN,12.2,5.74,-0.1%
AWK,383.88,9.84,-2.84%
BLSK,415.67,1.67,-4.91%
IIU,397.11,-7.32,-2.01%
VAIT,430.98,4.89,0.03%
MIZ,444.12,-3.29,-1.95%
KNH,346.74,-8.23,-2.43%
WMLB,493.5,0.55,-1.16%
SDP,56.08,6.82,1.37%
VSH,267.25,6.54,-4.31%
SSTE,443.06,0.04,3.26%
HIEP,41.59,-9.04,-0.6%
NLI,470.1,-9.77,-0.28%
OQBC,476.27,7.53,-2.27%
VDEC,34.67,0.17,-0.27%
HVUO,277.87,-5.89,3.99%
BWFS,353.86,-6.65,1.76%
YDZL,97.9,-8.13,-4.4%
EZKU,481.86,-0.78,-4.6%
WOFQ,135.56,6.08,-3.16%
QIP,492.62,-0.44,4.92%
QBZD,225.74,1.24,-4.38%
KPLQ,449.51,0.43,-3.03%
UVQ,193.42,-5.46,1.45%
CLD,217.09,-7.36,0.25%
FTMD,170.35,-6.79,3.56%
PDQK,299.37,1.41,1.45%
KGA,408.82,8.01,0.67%
EII,52.28,0.24,4.25%
YQPP,483.02,3.37,-1.58%
CYMM,178.8,6.64,2.5%
AJUN,46.09,-2.21,-0.82%
FSC,222.65,-9.09,-2.72%
ESP,324.07,-4.95,-2.4%
JTV,284.43,9.23,2.78%
HAE,105.24,-9.28,-4.81%
IBS,296.07,-1.87,1.55%
KDRR,150.28,-9.43,-1.36%
YBH,269.24,8.76,-4.46%
NBXP,341.82,-9.88,-0.76%
WVFY,377.13,-5.52,-0.48%
MDZB,311.47,3.69,-4.0%
JMAZ,365.19,7.84,-2.96%
KPEK,460.5,4.11,-1.67%
HTAM,130.51,-4.7,0.42%
YUJD,246.31,1.32,-4.53%
JFOE,114.83,5.54,0.36%
DDO,362.66,-8.31,4.89%
XZI,228.3,-0.84,3.58%
ASMP,22.33,-8.58,-2.53%
KNF,243.2,1.81,-2.78%
PYPN,14.04,2.16,1.41%
SRON,461.37,7.87,-3.63%
UWZW,335.94,7.39,-4.04%
JDEO,112.82,4.4,0.83%
HQFV,238.02,6.77,2.77%
VKAN,18.2,3.33,-1.86%
DXNW,228.42,2.37,0.95%
DLW,66.96,3.95,2.99%
MAIQ,103.66,0.13,2.87%
UZFK,392.29,5.6,-4.96%
OZIA,250.45,9.22,-3.03%
INDY,461.97,3.07,1.64%
QQLO,483.56,0.83,3.4%
FRTT,264.89,-7.73,4.39%
XBFF,224.41,-8.49,-1.44%
BGJP,311.32,4.46,0.77%
XZRN,58.15,8.39,3.75%
WHL,356.95,-4.22,1.91%
FWZ,301.65,6.7,4.01%
KION,387.6,7.69,4.61%
HAG,492.51,4.18,-0.7%
GOO,443.71,-6.49,-0.24%
RLBC,338.72,-1.44,4.2%
CGYK,184.98,-7.01,-2.89%
RYX,96.8,-0.33,2.64%
NYZ,143.98,-4.04,2.67%
KIG,216.88,-8.91,2.06%
GAV,192.96,-1.51,-4.4%
XTJ,376.2,-5.72,3.4%
BJKK,338.15,-6.8,0.0%
AWBM,179.03,-5.03,-0.04%
FVQJ,42.22,0.22,-0.94%
TBHR,339.68,-1.49,2.4%
OVM,153.28,2.92,-0.22%
QVA,421.23,-4.57,1.37%
GCO,398.02,4.34,-1.54%
PYWY,226.98,-4.44,3.9%
ODOV,165.45,-0.4,-4.67%
JJQZ,242.22,-4.59,-4.69%
COD,487.14,-0.09,4.21%
OPTQ,285.95,1.88,-4.28%
CKR,302.46,-3.57,0.81%
AHYA,287.05,2.93,-4.32%
JSL,114.86,-3.04,4.89%
VYLY,362.38,-1.31,-4.16%
BUV,473.68,-5.09,-3.69%
FGB,403.49,7.67,-2.88%
XTHP,103.67,1.02,0.31%
FJZ,32.8,4.74,1.2%
MIH,34.11,-5.53,4.72%
XXX,499.32,-9.81,3.36%
VHU,435.95,5.64,-1.4%
CAG,56.58,-4.07,1.98%
KEJ,79.29,-5.27,4.98%
UQLW,109.96,5.71,-2.3%
SVT,194.75,2.21,-0.64%
CGY,234.51,7.93,-1.24%
YGHP,66.08,-1.28,-0.43%
GNN,133.48,-8.69,-4.92%
RQKQ,395.87,-5.72,-1.03%
FHH,297.18,3.57,3.6%
LLCX,277.87,-5.87,2.45%
MWNV,399.73,-5.52,4.6%
JWWU,400.9,-9.67,0.93%
OYJU,114.04,9.0,1.19%
ROK,110.74,-8.85,1.75%
RPF,88.69,4.29,-3.14%
VTPF,120.91,8.52,-4.69%
YVBU,119.2,-8.82,2.32%
YTNF,479.95,-3.02,-0.95%
QNEV,244.79,-8.82,1.62%
UAQ,482.37,6.21,-0.65%
KFJM,117.86,0.53,-1.96%
JRJ,246.71,-1.69,0.95%
EPWV,62.71,2.52,3.58%
IPLV,17.09,-7.29,-2.93%
MGTG,169.63,0.58,-4.97%
LTIH,435.87,-0.84,4.9%
BPW,348.14,1.88,1.56%
ANGY,367.5,-0.18,-1.93%
ATY,492.19,-0.3,1.13%
YYVE,252.89,7.27,-1.99%
ALWD,345.66,3.18,1.01%
UIAW,247.54,-3.04,-4.23%
SCMF,128.48,8.54,-2.17%
YGP,276.07,6.15,3.49%
NSVV,372.93,-3.14,0.2%
DAFZ,140.37,-8.97,4.37%
WKP,499.8,1.44,-4.3%
SOIV,66.71,-8.66,1.01%
SUCZ,468.76,3.16,2.75%
WBAP,394.87,-9.07,1.15%
AAIU,221.23,9.06,-1.59%
TAB,242.74,4.01,-0.51%
FSY,176.5,-8.56,-0.33%
JOO,393.49,2.32,-0.87%
VGAK,280.39,-4.14,2.56%
NCX,431.84,7.46,-0.91%
RFHF,199.64,8.64,-3.48%
UVN,196.14,-9.88,2.48%
KLI,216.2,-8.57,-0.21%
JZRK,113.41,-5.32,4.0%
DZFA,257.42,-5.61,-4.37%
WFWL,411.34,8.8,-0.55%
GJXB,256.58,7.08,-4.79%
ZQU,414.62,3.64,-4.09%
USXG,363.66,6.87,4.73%
UGG,460.55,3.61,-1.81%
FELX,19.82,-0.8,-4.3%
UGW,313.88,7.61,-0.11%
XODA,357.93,-2.37,-0.22%
UAZ,56.11,-5.45,-4.51%
YAJX,234.17,4.79,-0.48%
THE,356.8,9.58,-1.5%
ALVO,417.65,-0.23,3.78%
MWX,339.79,-6.52,-1.81%
RDOQ,398.59,5.92,-0.15%
OLY,335.17,6.27,4.4%
KSZI,239.89,-1.93,0.84%
ZDT,440.54,-5.72,3.52%
SZJ,394.93,-9.67,-4.36%
SYN,263.12,0.7,-4.58%
YNEB,494.36,7.93,-2.58%
HLFA,499.95,-5.18,-2.64%
RJJ,389.77,9.22,3.69%
CSZ,384.74,-2.84,-3.25%
USAP,419.53,7.61,0.65%
HQHG,219.64,2.64,0.24%
WLI,454.62,7.62,2.95%
OAM,297.77,5.71,-0.1%
ODMP,89.32,-0.68,-3.67%
SDPH,197.39,-9.83,-1.07%
HJK,76.62,-6.13,-0.04%
AOU,490.5,7.97,0.2%
IGUS,32.79,6.27,3.64%
NZE,139.43,5.8,-0.49%
GLNL,419.16,-9.13,-3.94%
UKNZ,400.02,0.81,-4.74%
NVXF,400.14,-6.18,-1.65%
TPAO,182.19,-3.19,4.84%
WHZO,369.58,3.52,-0.24%
KTNZ,146.31,0.1,1.57%
UMDZ,103.61,5.78,3.48%
OVB,463.08,1.44,0.79%
UTMF,144.04,0.72,2.72%
KWG,388.86,4.25,3.78%
TTP,479.38,-2.92,-3.84%
TROE,93.4,2.45,-3.98%
BOII,344.65,9.66,2.74%
ZVE,490.78,8.94,-2.2%
GFW,138.51,6.9,1.11%
RRZW,337.93,1.05,-3.11%
MKZZ,393.78,-1.86,2.02%
HQAJ,84.36,9.43,4.24%
BDZY,280.76,8.39,0.13%
GFE,196.66,1.45,-4.93%
QEGJ,20.59,-7.99,-1.33%
PHPX,139.93,-1.36,2.09%
ENO,327.97,8.41,2.11%
PXY,435.11,5.0,-4.49%
FABJ,291.12,1.43,-4.6%
RDB,105.57,2.35,3.53%
GLNU,323.23,-4.87,-0.45%
BYO,467.9,2.75,3.2%
YZHM,209.52,-6.38,-0.13%
FIIK,250.55,2.9,4.45%
HUTA,449.58,-2.99,-4.59%
CRG,142.81,-0.0,2.37%
QYUL,183.41,-3.15,2.5%
NFO,425.63,-5.72,-3.13%
MHD,328.83,-9.16,4.55%
YUZO,351.29,-1.55,3.24%
TLRA,351.98,7.22,3.58%
OXI,211.74,-0.94,-2.39%
FJJN,471.0,-1.49,4.58%
DAO,158.52,9.12,-2.95%
FYN,319.92,-3.38,4.36%
CSTS,80.56,4.38,-0.76%
GXT,302.14,2.71,-2.03%
PXRM,271.48,6.23,-0.64%
WFL,459.32,9.72,-2.5%
XST,462.69,6.71,1.51%
TQAD,345.16,6.06,-0.83%
CJCW,122.75,-8.85,2.08%
HOH,368.55,-8.84,3.02%
NGZE,462.46,-4.39,-3.47%
YBA,142.02,1.14,3.97%
FOCZ,417.34,-1.92,-4.81%
MYFF,39.64,-1.87,-0.5%
ONV,143.17,3.69,4.98%
NDTK,155.28,-9.7,2.67%
VVX,64.0,7.73,-1.25%
RNLH,275.96,-9.3,1.34%
EQU,61.76,-4.41,4.79%
VCES,71.86,-0.75,4.99%
NGPT,173.24,5.4,2.52%
ZSF,66.27,-7.59,-0.75%
KLJ,52.91,-4.63,-0.55%
ABUA,95.92,1.72,2.41%
JGXP,492.94,0.16,-3.4%
QJU,364.23,0.55,-3.46%
SNBU,251.9,0.19,4.11%
OHPM,256.23,4.8,1.07%
OIT,213.96,4.07,4.19%
SMQW,91.91,7.9,1.82%
LOE,23.83,6.7,0.31%
FKKN,353.52,8.88,0.75%
YUH,474.65,6.51,-3.97%
CSM,269.8,-9.65,-0.29%
CLP,254.46,4.87,-0.09%
PXE,181.48,7.82,-1.75%
BZW,29.7,4.25,0.1%
IZEX,61.32,1.22,4.1%
IHL,461.94,-8.46,2.25%
RQOU,221.93,1.98,-0.15%
UVN,126.11,-0.91,1.1%
GSOT,211.1,9.05,-1.34%
PMIZ,348.99,1.24,-4.47%
LGSJ,168.54,2.67,-3.14%
RLC,147.84,-5.54,-2.07%
KOEV,300.95,4.76,3.36%
OCN,249.83,-2.53,2.55%
TBN,342.93,-8.01,3.0%
RFSZ,17.36,-0.63,-4.18%
NUL,306.13,1.18,4.72%
TWS,396.44,3.59,2.77%
IDF,173.6,5.61,4.43%
KWBG,159.86,-1.06,3.32%
WXES,346.41,6.4,-2.32%
BFEJ,434.95,-6.08,0.13%
ZDLH,364.91,-5.24,1.93%
IWJ,415.21,1.3,-0.44%
TVL,135.66,-0.3,-0.17%
LQO,227.98,-9.38,3.69%
QZWF,172.24,-0.35,-0.47%
TPC,103.13,4.28,1.26%
BMAP,330.25,0.9,3.86%
SGFH,247.43,-9.96,0.17%
ALLM,478.88,-6.26,-0.41%
LKX,228.22,-9.43,1.1%
OHFH,52.26,8.04,4.22%
ZLCV,477.56,-9.08,4.7%
MBLK,17.64,-3.82,-4.44%
PBK,135.02,-1.74,0.82%
XVP,85.71,9.27,3.76%
MGL,134.58,-6.87,-1.88%
MIV,406.37,7.39,4.04%
RURG,45.33,5.46,2.43%
CIJ,183.56,-4.73,-4.46%
GBW,148.61,3.51,-2.95%
GKJS,284.41,-8.56,2.14%
NFI,32.6,-0.84,3.32%
VBZW,34.32,-2.74,3.69%
NGO,84.18,5.79,-2.44%
AMCA,42.42,2.21,-4.89%
FHLX,37.8,-9.66,-0.21%
SBPP,376.16,5.56,-0.98%
LGA,335.48,-9.38,-0.38%
GTC,247.64,8.94,3.88%
QLAP,267.86,-9.02,4.6%
OFZL,39.46,-7.73,1.84%
GEJY,251.18,7.81,4.03%
WQME,67.94,8.42,-4.58%
VLB,274.54,2.73,-2.46%
HSK,58.46,-0.41,-1.2%
SFQD,163.74,-6.86,4.85%
ZYTT,222.51,-9.33,4.52%
BFU,394.68,-3.99,-3.09%
EZDX,211.35,-3.43,-3.89%
ZKN,283.78,5.49,0.53%
MXD,491.82,3.1,4.43%
YTG,194.76,-9.83,1.44%
DAD,405.4,0.85,3.17%
RRDS,238.16,-6.1,1.98%
NCSZ,58.12,-8.41,1.26%
DLR,58.5,-4.51,-4.05%
COIR,100.1,-2.74,-4.14%
BPA,449.42,-1.12,-2.59%
OVO,465.7,6.4,3.66%
YYH,159.71,-3.12,2.28%
YRK,116.44,-8.64,-4.36%
VRPB,271.66,-8.34,-3.14%
WJCU,355.7,-6.2,-4.72%
CJJ,311.56,-5.58,1.66%
YXL,10.72,0.68,4.27%
WCXX,107.91,-7.06,-4.55%
QSTT,107.82,6.08,3.66%
RGO,317.82,-1.82,4.8%
EMX,301.16,6.9,-1.4%
IQO,39.33,-5.22,0.1%
FZQJ,130.84,-4.56,-0.26%
OJYZ,318.3,5.84,4.8%
TGY,179.85,1.75,-0.67%
FRE,136.08,8.57,-1.76%
GADH,69.14,9.48,-3.62%
BOH,186.67,-3.62,1.01%
PWUP,216.3,7.57,0.84%
GWF,274.12,2.6,-4.7%
FDF,41.42,7.9,-4.79%
OSE,184.5,0.76,-1.9%
ZYX,307.84,-6.84,4.13%
YVU,64.41,5.15,-4.21%
URN,86.79,-1.07,2.0%
RYMT,24.62,-1.53,0.95%
TUOJ,149.74,4.41,-2.63%
FGLZ,486.23,6.61,4.74%
NEVH,78.87,-1.4,-4.29%
GQO,437.09,8.99,-4.14%
UMN,38.96,-7.71,-1.96%
GGQ,248.58,-7.36,-3.92%
FLF,50.89,-5.5,-4.28%
UOL,441.81,3.19,-1.57%
MCXR,248.2,9.7,4.09%
XOD,362.53,-0.54,0.26%
OWZA,203.93,-3.37,0.24%
DNO,153.85,1.54,-3.46%
XWKR,224.05,7.06,-1.84%
UNET,311.5,9.44,-1.16%
HEXG,276.3,1.43,1.88%
MFZE,122.25,-6.32,0.69%
CVMP,217.72,4.52,0.33%
CPZW,164.42,-6.3,-2.78%
JWWD,489.95,-7.77,4.21%
RTL,46.1,0.63,-3.08%
DEJ,277.6,-2.27,-3.87%
RJMA,83.9,3.59,-4.0%
TLX,255.28,8.77,0.26%
SKN,76.51,-6.35,-0.53%
YZXT,344.56,-8.87,1.53%
RMP,194.86,5.77,2.59%
ICHY,378.36,1.37,0.9%
MLN,268.75,-1.14,-0.34%
EWDI,347.43,-5.19,4.71%
HBLM,357.0,0.71,2.41%
GWDL,132.21,-9.36,1.43%
YGIC,251.39,6.44,-3.67%
HOP,174.06,1.59,-2.31%
FBOW,357.27,0.04,2.18%
HIM,20.82,-5.88,0.38%
PZC,12.42,4.64,3.32%
CFPC,338.73,0.79,-3.49%
OMKB,287.49,-4.07,-3.74%
JGV,372.92,2.12,-2.47%
ENL,189.07,-7.53,0.5%
OEM,391.49,-7.93,-2.77%
WJH,432.06,2.0,3.94%
BWQ,458.2,-2.11,1.36%
QYAZ,177.85,-6.3,-4.96%
DSQY,277.16,-7.42,2.05%
SWNA,491.89,6.02,-0.44%
DMYA,27.92,6.45,2.53%
ZOR,127.16,-2.3,-2.22%
FGN,40.95,7.24,4.8%
OZA,245.97,-0.13,-2.56%
NHZ,268.34,-2.38,0.49%
SRYQ,185.64,9.4,1.07%
NMY,443.44,-7.71,4.09%
VLYG,35.27,-0.63,0.13%
VRT,489.3,6.45,-1.96%
EPXW,208.53,-8.79,-3.65%
RVF,481.04,6.0,4.2%
ZZQ,414.59,0.43,-2.65%
PMWT,487.21,7.06,0.76%
BVF,275.81,7.96,3.29%
UTDQ,65.09,2.23,-3.9%
TRC,224.97,8.17,-2.05%
EGY,229.42,-4.7,-2.16%
PECG,476.95,-0.52,-4.23%
RAZ,399.57,0.64,-2.1%
TQC,72.87,3.81,4.58%
KOIR,358.27,0.73,3.56%
GCFV,194.58,-1.81,2.85%
FFKT,107.75,-5.85,-3.28%
KIFZ,349.01,-2.23,-1.74%
PNXV,120.26,-5.45,-3.19%
ULJ,472.42,8.85,-2.24%
FRP,60.4,7.71,4.07%
KTAN,451.76,6.27,-4.01%
HZB,89.47,2.32,0.01%
RLHO,193.05,4.4,-2.96%
XIYS,370.44,7.05,-1.84%
WGO,495.6,2.15,2.24%
QJE,200.59,-3.92,-4.38%
SZH,23.52,6.07,2.01%
UPKN,98.3,5.86,-2.43%
FOOU,256.43,3.62,3.21%
BIM,145.89,-5.09,3.19%
LEKJ,217.85,-7.2,-2.54%
RFMZ,377.27,7.53,-0.3%
FYTW,456.14,9.86,3.2%
CUGH,329.12,8.63,-2.73%
PNN,38.49,-7.64,-4.86%
ZKK,438.05,-0.78,-2.97%
KFSU,281.73,-9.16,-3.71%
UIG,434.47,-6.12,1.01%
KIHQ,286.36,-9.54,-0.29%
AER,133.88,0.0,-1.71%
CSXX,426.35,-4.83,4.23%
FDU,86.63,-4.11,5.0%
QAV,86.25,-8.96,-2.69%
ADU,167.52,5.66,-1.33%
YZU,429.11,-1.63,-4.95%
QTBR,139.9,3.74,-0.32%
WZU,70.17,-3.87,-3.6%
UCOM,482.17,-3.19,1.64%
JPB,218.06,9.1,4.28%
BUU,49.72,2.68,-3.79%
EFK,59.54,-0.44,0.96%
PQNW,459.51,5.73,-1.73%
TIRA,37.01,-4.87,-2.89%
MLAS,370.61,-7.66,-0.43%
FAPO,31.82,-9.61,-0.1%
BJG,144.9,3.77,0.59%
TRY,203.55,-0.84,-0.09%
FLOI,301.58,-3.15,4.14%
PMZ,316.28,9.05,2.01%
JQVR,336.32,-0.93,-2.76%
GEW,327.73,-8.07,-1.99%
YZU,377.03,-1.88,-3.0%
DCDJ,265.68,-9.71,2.35%
JNHO,349.79,-6.71,3.97%
DWB,247.06,3.25,1.88%
IYGR,452.71,5.76,-3.92%
KDL,264.27,-0.1,-1.4%
TIUB,404.38,8.45,1.53%
GFZG,354.54,9.66,3.3%
OEJ,348.44,-2.11,-3.07%
EDK,484.62,-7.24,4.0%
FHG,485.51,6.92,3.59%
AZMB,298.05,-3.1,1.54%
HWAO,74.43,4.78,-1.59%
NXS,184.4,8.1,-0.27%
IBIY,304.19,-6.16,1.26%
XEZA,154.83,-7.19,-1.42%
TZDJ,315.31,-0.93,-2.19%
GIIR,37.64,0.59,1.67%
IAE,438.89,3.07,-1.45%
LDPC,404.65,-5.45,1.93%
HHRV,153.31,-2.67,-3.82%
BOFY,254.9,6.29,4.58%
GRV,93.87,4.98,1.24%
CMPU,368.76,8.06,-0.12%
NAIM,332.31,1.58,4.98%
DFA,195.65,2.11,-4.46%
PNC,402.89,1.97,-1.2%
LNI,193.29,-9.11,2.59%
RDT,102.55,4.15,-3.95%
YMB,73.3,1.32,1.91%
UZXM,110.82,-5.63,-1.08%
VNW,112.6,1.01,-2.66%
HJKG,381.74,5.92,-3.26%
PFP,141.51,7.06,-1.18%
YBE,348.06,-2.65,4.18%
YHVE,304.89,7.05,-4.94%
MEU,359.15,2.4,4.71%
VJJ,454.04,3.05,1.94%
TJXT,306.53,6.94,-2.57%
GNLR,227.96,-4.14,3.9%
KQV,252.76,9.28,2.62%
TBOJ,242.73,-9.89,3.18%
VEM,16.66,-8.96,4.92%
ZPE,381.12,0.77,2.07%
FQY,348.59,3.85,1.73%
LILO,13.88,4.24,-4.44%
GVRK,229.53,7.22,-1.73%
YFY,317.9,9.58,-1.15%
VRR,53.32,-7.54,0.21%
NCG,400.27,-6.92,1.39%
SZV,403.36,9.37,-4.38%
BAUK,344.09,6.9,-2.03%
YLKB,414.03,3.34,-1.21%
LCZ,128.39,-1.74,3.09%
DWJE,89.45,8.64,-4.6%
KELR,364.3,-0.78,-4.55%
VRMU,159.13,6.11,3.52%
LGZT,242.4,-3.46,-0.74%
NQJ,112.01,5.77,3.68%
EOZ,295.3,0.68,4.77%
GSNF,409.29,4.28,1.79%
DLMV,33.45,-0.69,-0.99%
RRB,151.99,0.29,-2.56%
QSH,459.52,-6.07,-4.6%
WYT,79.13,9.13,4.51%
TLUA,489.02,-8.36,3.92%
CHQW,263.91,-9.76,-1.59%
KGP,143.89,-1.37,-2.34%
ACKE,345.01,-0.55,2.73%
QUU,454.48,-3.74,-1.22%
TZP,428.56,-0.77,1.45%
ZYUR,142.81,4.7,-1.97%
AYEA,126.24,3.8,-0.8%
QMZ,268.13,3.25,2.46%
CBN,215.84,-8.03,-4.63%
BYJO,436.81,0.17,0.51%
OFBB,474.6,-5.21,3.41%
HWCY,336.55,7.12,3.73%
RHF,171.21,-5.81,-0.53%
GWR,65.69,0.98,3.95%
GBB,229.27,3.62,1.56%
XVX,81.32,-2.57,-0.46%
EIFA,436.34,-1.05,1.9%
YXAK,451.57,8.97,-4.52%
ORR,140.9,-2.5,3.61%
RKW,100.77,-9.27,-1.01%
VYQ,364.2,4.03,3.44%
PAI,36.55,-4.68,2.82%
OMT,198.71,9.09,-2.91%
JRP,220.46,4.37,1.03%
ILZ,455.39,9.55,3.25%
ROKS,209.65,5.53,-4.73%
BQM,270.22,-4.88,-0.99%
RUT,333.35,0.51,1.94%
BKH,476.28,8.69,-4.35%
GDSA,137.38,-3.77,-4.06%
EWGD,62.56,6.0,0.83%
IZA,480.98,2.16,-2.43%
OVDC,144.47,-9.95,-1.07%
RJHG,391.02,-3.88,-3.27%
WBV,246.48,-5.07,4.39%
PDO,246.2,-9.07,-4.64%
TSX,73.24,-5.71,0.06%
WUJ,375.22,5.68,-4.22%
BDOG,153.52,7.77,0.72%
ACFV,229.55,-3.94,4.35%
VWJC,299.09,-7.48,-1.44%
NWA,160.5,5.73,-3.44%
GWW,452.46,-8.86,1.64%
SOI,68.0,8.32,-2.39%
ODW,432.12,-9.31,-3.36%
JBZ,148.12,1.9,1.48%
VQIQ,478.2,-6.23,0.77%
QRH,128.25,8.88,3.28%
YYSM,337.61,0.41,-2.02%
EVWD,254.12,3.75,-3.5%
NKCW,241.53,-1.46,0.19%
KEN,125.91,9.06,-0.81%
KBA,101.34,-5.15,0.59%
SZXX,298.86,5.4,0.38%
DIKR,223.14,7.47,2.24%
QPR,327.09,-9.63,4.28%
BOBX,137.05,-9.24,2.35%
QUON,430.04,7.19,-4.82%
PQW,362.14,3.97,-3.28%
GVQS,211.85,1.51,-0.33%
XAOR,494.78,8.13,-3.86%
YFU,101.99,0.67,1.5%
LIT,211.23,-9.54,-3.9%
QXR,146.79,4.16,0.75%
MQDP,45.16,-0.79,-2.39%
EUH,406.76,6.67,0.59%
ZDF,166.04,-4.31,0.81%
YOPQ,210.68,-6.93,-4.16%
HWO,355.09,-3.91,0.89%
WXA,160.69,1.79,-3.55%
ZIR,229.89,2.51,4.45%
NVAV,123.89,7.34,4.83%
AXKU,58.04,-4.48,-0.88%
GTT,62.19,-6.54,1.2%
QUU,310.79,-0.43,2.97%
MBC,46.58,-3.28,0.87%
NWRE,446.32,8.54,-1.03%
MPRR,134.31,8.38,2.13%
RZU,229.28,5.63,2.4%
MCKE,173.24,-2.91,3.54%
XKBS,115.52,-3.83,0.06%
ZCRW,55.72,-7.22,-0.47%
HPLE,54.99,5.39,-2.25%
AFLX,361.37,-5.38,3.56%
IWM,241.51,3.69,1.89%
SJVR,239.9,-9.35,2.35%
WCQO,150.72,-9.21,3.19%
XKV,438.48,-8.94,0.84%
ZXY,469.31,-0.01,-1.34%
XDQ,388.45,-4.43,-0.76%
KHNB,291.25,1.9,-4.36%
GEXV,74.61,-0.89,-2.3%
QYM,418.5,6.14,2.96%
OZV,190.94,6.18,4.46%
TND,472.14,9.45,-1.92%
HHB,71.12,4.53,0.28%
OPWB,308.46,6.79,-4.12%
BFYI,261.11,3.11,1.26%
MLIY,439.32,-3.86,-3.68%
MMQ,445.2,6.71,4.85%
RXGS,332.38,2.31,-1.11%
EXR,204.53,0.49,4.27%
IGY,79.2,8.47,-4.53%
URZR,100.34,7.57,-1.89%
PPN,269.65,-6.22,-4.14%
RZRX,154.05,-1.25,0.62%
PLE,353.74,5.94,1.55%
AKPY,141.86,-8.24,-2.78%
XNOI,250.3,2.38,1.79%
WEZN,190.17,0.52,2.07%
VET,301.86,5.98,0.48%
BVYB,497.83,-4.12,-4.8%
IMIK,104.7,-8.74,-2.14%
DKJ,153.59,4.8,2.47%
ZMK,143.2,-8.73,4.64%
ZENV,276.13,-9.75,-4.16%
ZVUK,124.16,-3.84,-1.89%
EGZ,63.15,-2.51,-3.11%
JXCL,76.64,5.73,-2.67%
YRPO,32.02,2.28,2.99%
VDL,294.75,0.5,-0.36%
YTI,469.39,-5.24,-4.87%
AJT,217.54,0.37,-0.15%
HZX,279.5,-7.87,-1.74%
MEK,243.73,7.85,2.88%
KZGJ,132.85,-5.83,-2.64%
JCZQ,39.22,0.46,1.62%
LVY,138.51,7.25,-4.75%
FKZL,422.59,3.21,0.95%
KYU,374.31,-8.19,1.01%
KBP,471.94,-8.62,1.27%
GRW,253.52,2.75,-0.49%
JDKB,249.58,6.39,3.12%
LNJ,129.94,8.71,0.93%
NXVS,362.85,-8.88,1.69%
HYO,67.43,6.09,0.95%
RVC,475.03,-6.36,4.24%
BOFH,419.7,1.48,0.95%
LWYT,12.66,-4.47,-0.71%
ZYM,422.95,6.14,-2.76%
RTLR,13.54,4.94,3.03%
UXJ,218.84,8.32,0.36%
TGJR,323.24,-6.3,3.01%
