,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
53,VIPS,Vipshop Holdings Limited,,15.05 +0.68 (+4.70%),0.68,+4.70%,630867,2.988M,7.723B,7.10,-12.75%,
54,TRI,Thomson Reuters Corporation,,176.59 +7.36 (+4.35%),7.36,+4.35%,243553,289781,79.451B,35.89,8.53%,
55,UBER,"Uber Technologies, Inc.",,67.39 +2.91 (+4.52%),2.91,+4.52%,10.592M,26.481M,141.91B,14.78,-9.96%,
56,IFS,Intercorp Financial Services Inc.,,32.48 +1.42 (+4.57%),1.42,+4.57%,68839,158308,3.717B,12.94,30.29%,
57,NTDOY,"Nintendo Co., Ltd.",,18.03 +0.77 (+4.46%),0.77,+4.46%,56424,1.476M,84.447B,40.07,19.29%,
58,LEA,Lear Corporation,,97.45 +4.01 (+4.29%),4.01,+4.29%,268807,729570,5.296B,10.25,-29.91%,
59,AZN,AstraZeneca PLC,,74.17 +3.23 (+4.55%),3.23,+4.55%,1.966M,5.819M,229.998B,35.66,11.68%,
60,XPEV,XPeng Inc.,,17.26 +0.72 (+4.32%),0.72,+4.32%,2.986M,11.513M,16.474B,-,96.56%,
61,CIFR,Cipher Mining Inc.,,5.98 +0.27 (+4.73%),0.27,+4.73%,3.195M,11.271M,2.099B,-,96.90%,
62,MGNI,"Magnite, Inc.",,18.81 +0.84 (+4.70%),0.84,+4.70%,780101,1.879M,2.646B,144.69,92.81%,
63,ATKR,Atkore Inc.,,68.81 +3.22 (+4.90%),3.22,+4.90%,223503,697126,2.367B,6.62,-55.88%,
64,MAT,"Mattel, Inc.",,21.77 +0.93 (+4.46%),0.93,+4.46%,1.24M,3.408M,7.333B,13.78,10.44%,
65,MAKSY,Marks and Spencer Group plc,,9.02 +0.37 (+4.28%),0.37,+4.28%,16999,123760,9.109B,15.03,53.40%,
66,ICE,"Intercontinental Exchange, Inc.",,167.37 +6.67 (+4.15%),6.67,+4.15%,704283,2.995M,96.097B,39.75,19.82%,
67,FTAI,FTAI Aviation Ltd.,,121.40 +4.46 (+3.81%),4.46,+3.81%,461915,2.687M,12.45B,-,121.16%,
68,ENPH,"Enphase Energy, Inc.",,68.19 +2.93 (+4.48%),2.93,+4.48%,1.035M,4.32M,9.213B,90.92,-44.16%,
69,BEKE,KE Holdings Inc.,,17.88 +0.68 (+3.95%),0.68,+3.95%,1.744M,7.185M,21.307B,36.49,28.26%,
70,BMA,Banco Macro S.A.,,96.38 +3.71 (+4.01%),3.71,+4.01%,75761,342656,7.117B,12.37,221.51%,
71,RYN,Rayonier Inc.,,26.74 +1.01 (+3.93%),1.01,+3.93%,130761,774416,4.038B,24.99,-21.72%,
72,SNEX,StoneX Group Inc.,,115.78 +4.36 (+3.91%),4.36,+3.91%,46279,175165,3.709B,9.70,76.77%,
73,ALGM,"Allegro MicroSystems, Inc.",,25.36 +0.75 (+3.05%),0.75,+3.05%,417837,2.196M,4.669B,-,-19.81%,
74,MC,Moelis & Company,,82.56 +2.88 (+3.61%),2.88,+3.61%,399325,637718,5.828B,46.38,44.30%,
75,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",,11.97 +0.44 (+3.84%),0.44,+3.84%,681936,1.879M,68.917B,6.88,17.53%,
76,NGLOY,Anglo American plc,,15.32 +0.55 (+3.72%),0.55,+3.72%,18984,230273,37.146B,-,33.63%,
77,RKT,"Rocket Companies, Inc.",,13.15 +0.45 (+3.58%),0.45,+3.58%,644118,3.45M,26.143B,-,10.63%,
78,BILI,Bilibili Inc.,,18.16 +0.65 (+3.68%),0.65,+3.68%,1.752M,5.363M,7.759B,-,79.96%,
79,AB,AllianceBernstein Holding L.P.,,41.29 +1.40 (+3.51%),1.4,+3.51%,130675,429213,4.684B,11.86,21.25%,
80,WB,Weibo Corporation,,10.60 +0.38 (+3.67%),0.38,+3.67%,266908,1.27M,2.497B,7.26,14.32%,
81,WULF,TeraWulf Inc.,,5.26 +0.18 (+3.65%),0.18,+3.65%,9.353M,33.992M,2.028B,-,149.75%,
82,CSL,Carlisle Companies Incorporated,,354.80 +12.12 (+3.54%),12.12,+3.54%,120299,349766,16.082B,19.36,-0.02%,
83,KMPR,Kemper Corporation,,70.83 +2.28 (+3.33%),2.28,+3.33%,182506,331005,4.536B,16.86,18.03%,
84,TX,Ternium S.A.,,30.42 +0.94 (+3.21%),0.94,+3.21%,67929,203666,5.973B,76.06,-21.87%,
85,LKQ,LKQ Corporation,,38.04 +1.26 (+3.43%),1.26,+3.43%,629775,2.151M,9.889B,14.04,-22.63%,
86,SEMR,"Semrush Holdings, Inc.",,18.02 +0.60 (+3.44%),0.6,+3.44%,127851,577500,2.644B,225.25,43.49%,
87,GGAL,Grupo Financiero Galicia S.A.,,65.80 +2.10 (+3.30%),2.1,+3.30%,127165,1.113M,12.089B,12.90,250.96%,
88,HGV,Hilton Grand Vacations Inc.,,42.54 +1.36 (+3.31%),1.36,+3.31%,35016,870778,4.19B,48.35,-2.46%,
89,QSR,Restaurant Brands International Inc.,,64.80 +2.09 (+3.33%),2.09,+3.33%,505638,1.813M,29.169B,16.24,-18.76%,
90,MAR,"Marriott International, Inc.",,302.12 +9.73 (+3.33%),9.73,+3.33%,261432,1.281M,83.958B,31.60,17.15%,
91,QFIN,"Qifu Technology, Inc.",,41.32 +1.22 (+3.04%),1.22,+3.04%,123644,1.281M,6.415B,8.47,183.99%,
92,FMCKJ,Federal Home Loan Mortgage Corporation,,11.80 +0.38 (+3.33%),0.38,+3.33%,30764,1.589M,8.059B,173.53,230.06%,
93,FMX,"Fomento Económico Mexicano, S.A.B. de C.V.",,87.73 +2.63 (+3.09%),2.63,+3.09%,90485,514123,159.181B,44.09,-38.98%,
94,FUTU,Futu Holdings Limited,,97.07 +2.95 (+3.13%),2.95,+3.13%,533275,2.443M,13.388B,23.79,95.39%,
95,NXPI,NXP Semiconductors N.V.,,220.29 +7.05 (+3.31%),7.05,+3.31%,509398,2.47M,55.988B,22.66,-6.40%,
96,LYFT,"Lyft, Inc.",,13.85 +0.43 (+3.23%),0.43,+3.23%,2.378M,15.6M,5.746B,-,5.01%,
97,CLSK,"CleanSpark, Inc.",,10.63 +0.32 (+3.10%),0.32,+3.10%,5.206M,32.614M,2.985B,-,-1.81%,
98,CTSH,Cognizant Technology Solutions Corporation,,86.17 +2.57 (+3.07%),2.57,+3.07%,1.183M,2.958M,42.725B,19.11,6.77%,
99,RITM,Rithm Capital Corp.,,11.82 +0.33 (+2.87%),0.33,+2.87%,1.894M,3.564M,6.143B,12.06,13.54%,
